widget_title,widget_description,url_loc
Bridge Computer Setup Diagram,Bridge Computer Setup Diagram,./files/Manuals/Bridge_computers_setup/bridge computer setup.jpg
Dutch Harbor SIP Logistics,Dutch Harbor Shelter-in-place logistics,./files/Port info/Dutch Harbor SIP Logistics.pdf
Dutch Harbor SIP Logistics Resources,Dutch Harbor Shelter-in-place logistics resources,./files/Port info/Dutch Logistics 5-16-21.pdf
EBS and NBS Shelf Survey Tech Memo Folder,Eastern Bering Sea and Northern Bering Sea shelf survey data report technical memorandum,./files/Manuals/past_tech_memos/EBS shelf survey Tech Memos/
Survey Staffing: 2023 EBS and NBS,Eastern Bering Sea and Northern Bering Sea Survey Staffing Personnel List Spreadsheet,./files/Staffing/2023_EBS_NBS_Survey_Schedule_05022023.pdf
EBS Otolith Collection Deck Poster 2023,Eastern Bering Sea Age Structure Collections Deck Poster,./files/Collections/Special Projects BS/2023/EBS/EBS.pdf
FPC Serialized Gear Tracking Inventory EBS and GOA,Serialized inventory list for FPC filebox,./files/Survey inventory lists/RSST Inventory/FY23 EBS GOA Serialized Gear Requests - Google Sheets.pdf
EBS FPC file box inventory,EBS FPC filebox inventory,./files/Survey inventory lists/RSST Inventory/FY23 EBS FPC File Box Gear Requests - Google Sheets.pdf
EBS Inventory List 2023,2023 Eastern Bering Sea Survey Gear Packing List,./files/Survey inventory lists/RSST Inventory/FY23 EBS Gear Requests - Google Sheets.pdf
EBS Port Guide 2023,2023 EBS Port Guide,./files/Port info/EBS Port Guide 2023.pdf
EBS Port Guide 2023,2023 EBS Port Guide,./files/Port info/EBS Port Guide 2023.pdf
EBS scope table,Scope table for wire out (EBS),./files/Manuals/Survey operation manuals/EBS Scope Table.pdf
EBS Slope Tech Memos Folder,Eastern Bering Sea Slope survey data report technical memorandum,./files/manuals/past_tech_memos/EBS slope survey Tech Memos/
EBS/NBS Survey Contingency Plan 2023,Contingency plan for survey stations to drop,./files/Manuals/Survey operation manuals/2023 EBS_NBS Survey Contingency Plan.pdf
RACE/REFM Emergency Information Form,Emergency Contact Form for survey participants,./files/Safety/Emergency contact form.pdf
Emergency Notification Plan,RACE Field Divisions Emergency Notification Form,./files/Safety/Accidents/EMERGENCY NOTIFICATION PLAN.pdf
Emergency Notification Plan,RACE Field Divisions Emergency Notification Form,./files/Safety/Accidents/EMERGENCY NOTIFICATION PLAN.pdf
Ergonomic Educational Resource Library,Ergonomic Educational Resource Library,./docs/Safety_Ergonomic_Resource_Library.html
Ergonomic Trainings Recordings,Video recordings of ergonomic training,./files/Safety/Ergonomic Resource Library/Ergonomic Training Recordings/
ES60 Folder,Simrad ES-60 echosounder acoustic resources folder (MACE) calibration,./files/Collections/ES60/
Visual Sighting Navigation to Estimate Distance,Visual Sighting Navigation to Estimate Distance,./files/Safety/Estimating Distance Off _ BoatUS.pdf
GAPsurvey: Code examples script,GAP Survey R Package example scripts for using main functions,./files/Manuals/R/GAPsurvey/example_script.R
Fieldwork Initiative Training (FISST) slides,Fieldwork Initiative sexual assault and sexual harassment prevention and response training,./files/Sexual Harassment/noaa FISST.pdf
"Microsoft Office File Format Converter (xlsx, docx)",Program to convert xlsx and docx files to older MS Office formats,./files/Software/docx_xlsx_file_converter
Flight Itineraries Folder,Flight schedules for survey participants personnel scientists,./docs/Personnel_Flight_Itineraries.html
Ergonomic: Foam Roller Use,Foam roller instructions from Rising Workplace training,./files/Safety/Ergonomic Resource Library/Approved IPS Exercise Programs/NOAA Foam Roller Approved Exercises.pdf
Form OPM 71: Request for Leave or Approved Absence,Form OPM 71: Request for Leave or Approved Absence,./files/Timekeeping/opm71.pdf
ES60 Forms Folder,"Forms for ES60 calibration, settings, parameter changes",./files/Collections/ES60/ES60 forms/
Fuel Purchase Form,Vessel Fuel Purchase for for FPC,./files/Purchase/Fuel Purchase Form.pdf
GAPsurvey: Instructions and Documentation,,./files/Manuals/R/GAPsurvey/docs/index.html
GAPsurvey: Software and scripts,Software and scripts for the GAPsurvey R package,./docs/software_r_software_&_scripts.html
GAPsurvey: Software and scripts,Software and scripts for the GAPsurvey R package,./docs/software_r_software_&_scripts.html
GAPsurvey: Package source file,Installation file for GAPsurvey package in a tar.gz,./files/Manuals/R/GAPsurvey/GAPsurvey_2023.04.01.tar.gz
Gear Codebook 2023,RACE Survey Gear Codebook code book,./files/SpeciesID/2023 Data Codes & Forms_FINAL.pdf
Gear Codebook 2023,RACE Survey Gear Codebook code book,./files/SpeciesID/2023 Data Codes & Forms_FINAL.pdf
GIS Training Slides,Instructions for using ArcGIS ArcMap at sea,./files/Station info/GIS_Training_2019.pdf
Globe Folder,Folder containing Globe resources,./files/Manuals/globe/
Globe software,Folder containing software and drivers for Globe,./files/Manuals/globe/Software
Glycerol/Thymol Recipe,Instructions for mixing glycerol/thymol otolith juice,./files/Collections/Otoliths/GlycerolThymol.pdf
2023 GOA Otolith Collection Deck Poster,Gulf of Alaska Age Structure Collections Deck Poster,./files/Collections/Special Projects GOA/2023/GOA.pdf
COVID Shelter in place (SIP) guide,Shelter-in-place guide for EBS and GOA surveys,./files/Port info/Shelter in Place Guide.pdf
GOA Fuel Vendors 2023,Information about Seacard Vendors for the 2023 Gulf of Alaska Survey,./files/Purchase/Fuel for GOA boats.pdf
GOA Inventory List 2023,2023 Gulf of Alaska Survey Gear Packing List,./files/Survey inventory lists/RSST Inventory/FY23 GOA Gear Requests - Google Sheets.pdf
GOA Port Guide 2023,2023 GOA Port Guide,./files/Port info/GOA Port Guide 2023.pdf
GOA Port Guide 2023,2023 GOA Port Guide,./files/Port info/GOA Port Guide 2023.pdf
GOA RACEBASE database,GOA racebase Access database (.mdb),./files/manuals/racebase/GOA RACEBASE.mdb
GOA Tech Memos Folder,Gulf of Alaska survey data report technical memorandum,./files/Manuals/past_tech_memos/GOA Tech Memos/
GOA SSL Mitigation,Avoidance Avoiding Stellar Sea Lion protected areas in the Gulf of Alaska,./files/SpeciesID/protected_species/Training/GOA 2021 SSL Avoidance.pdf
Survey Staffing: 2023 GOA,,./files/Staffing/GOA Vessel Staffing 2023.pdf
GOA/AI Polycoder Codes Poster,GOA/AI Polycoder Codes Poster,./files/Collections/Length Placard 2022_GOA_AI.pdf
GOA/AI scope table,Scope table for wire out (GOA/AI),./files/Manuals/Survey operation manuals/AI GOA Scope table.pdf
GPS: Kickstart guide,Troubleshooting if the GPS stops working,./files/Manuals/GPSs/GPS_kickstart.pdf
GPS Folder,GPS manuals and resources,./files/Manuals/GPSs/
Guidelines for Post-Cruise Data Handling (mostly outdated),Guidelines for Post-Cruise Data Handling (mostly outdated),./files/Manuals/Catch Data Entry/DataHandlingMan2011.pdf
GOA Ops Manual,Gulf of Alaska Survey Operations Manual,./files/Manuals/Survey operation manuals/2023 GOA Scientific Operations Plan.pdf
Ergonomic: Hand and wrist exercises,Hand and wrist exercies from Rising Workplace Training,./files/Safety/Ergonomic Resource Library/Approved IPS Exercise Programs/NOAA Hand and Wrist Approved Exercises.pdf
Ergonomic: Safe Lifting and Handling,Safe lifting and handling procedures from Rising Workplace Training,./files/Safety/Ergonomic Resource Library/Handout - Safe Lifting and Handling Tips.pdf
Ergonomic: Tips for working remotely,Tips for working remotely from Rising Workplace Training,./files/Safety/Ergonomic Resource Library/Handout- Ergo Tips for Working Remotely.pdf
